"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","668","test_register_user","test","Thu Jan 22 20:54:59 UTC 2026","passed","Thu Jan 22 20:55:00 UTC 2026","","test_a","",""
"","1","test_true","test","Thu Jan 22 20:55:00 UTC 2026","failed","Thu Jan 22 20:55:00 UTC 2026","","test_a","",""
