"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","test_register_user","test","Sun Jan 18 22:58:15 UTC 2026","failed","Sun Jan 18 22:58:15 UTC 2026","","test_a","",""
"","1","test_true","test","Sun Jan 18 22:58:15 UTC 2026","failed","Sun Jan 18 22:58:15 UTC 2026","","test_a","",""
